coin_label,symbol1,symbol2,symbol3,symbol4,symbol5
1,377,467,36,,
2,377,,36,,
3,377,467,36,283,
4,377,467,36,283,59
5,377,467,36,148,
6,377,467,36,149,
7,377,467,36,149,40
7a,377,467,36,149,484
7b,377,467,36,147,
7c,377,467,36,nf,
8,377,467,58,149,1
8a,377,467,46,191,167
9,377,467,272,150,
10,377,467,272,150,489
11,377,,272,150,51
11a,377,467,272,150,167
12,377,467,272,150,486
13,377,467,272,150,61
14,377,467,272,150,62
16,377,467,46,151,
17a,377,467,46,151,167
19,377,467,273,151,
20,377,467,273,151,1
21,377,467,273,151,4
22,377,467,273,151,28a
23,377,467,273,151,43
25,377,467,273,151,489
26,377,467,273,151,51
27,377,467,273,151,53
28,377,467,273,151,40
29,377,467,273,151,64
30,377,467,273,151,65
31,377,467,273,151,66
32,377,467,273,151,df
34,377,467,273,152,1
35,377,467,273,152,4
36,377,467,273,152,29
36a,378,467,273,152,35
36b,378,467,273,152,44
36c,378,467,273,152,45
36d,378,467,273,152,52
36e,378,467,273,152,54
36f,378,467,273,283,1
36g,378,467,273,283,45
36h,378,467,273,283,df
36j,378,467,273,nf,1
36k,378,467,273,nf,4
36L,378,467,273,nf,30
36m,378,467,273,nf,35
36n,378,467,273,nf,51
37,378,467,20,153,df
38,378,467,20,153,60
38a,378,467,20,283,28a
39,377,467,95,154,1
40,377,467,95,154,2
40a,377,467,95,154,4
41,377,467,95,154,28
42,377,467,95,154,29
43,377,467,95,154,30
44,377,467,95,154,34
45,377,467,95,154,35
46,377,467,95,154,38
46a,377,467,95,154,42
46b,377,467,95,154,43
46c,377,467,95,154,47
46d,377,467,95,154,72
46e,377,467,95,154,76
46f,377,467,95,154,df
47,377,467,95,155,4
47a,377,467,95,155,35
48,377,467,95,156,1
49,377,467,95,156,2
50,377,467,95,156,3
51,377,467,95,156,4
52,377,467,95,156,28
53,377,467,95,156,29
53a,377,467,95,156,29a
54,377,467,95,156,30
54a,377,467,95,156,33
55,377,467,95,156,34
56,377,467,95,156,35
56a,377,467,95,156,39
57,377,467,95,156,40a
57a,377,467,95,156,46
58,377,467,95,156,47
58a,377,467,95,156,51
59,377,467,95,156,58
59a,377,467,95,156,76
60,377,468,95,157,1
61,377,468,95,157,2
61a,377,468,95,157,4
61b,377,468,95,157,28
61c,377,468,95,157,32
62,377,468,95,157,33
62a,377,468,95,157,34
62b,377,468,95,157,35
63,377,468,95,157,42
63a,377,468,95,157,43
63b,377,468,95,157,53 or 54
64,377,468,95,157,76
65,377,468,95,157,70
65a,377,468,95,157,488
65b,377,467,95,nf,1
65c,377,467,95,nf,4
65d,377,467,95,nf,32
65e,377,468,95,621,1
65f,377,468,95,621,32
65g,377,467,95,167,1
65h,377,468,95,167,4
65j,377,468,95,167,489
65k,377,467,95,167,61
65L,377,468,95,490,47
65m,377,467,275,156,4
66,377,467,275,156,28
66a,377,467,275,156,30
66b,377,467,275,156,44
66c,377,467,276,158,1
66d,377,467,276,158,4
67,377,467,276,158,29
68,377,467,276,158,30
69,377,467,276,158,35
69a,377,467,276,158,43
69b,377,467,276,158,45
70,377,467,276,158,df
71,377,467,276,158,47
72,379,467,276,70,1
73,379,467,276,70,4
74,379,467,276,70,28
74a,377,467,276,70,30
74b,379,467,276,70,31
74c,379,467,276,70,35
75,379,467,276,70,43
76,379,467,276,70,44
77,379,467,276,70,46
77a,379,467,277,70,47
77b,379,467,277,70,52
77c,379,467,277,70,61
77d,380,467,277,41,1
77e,380,467,277,41,2
78,380,467,277,41,4
79,380,467,277,41,29
80,380,467,277,41,30
81,380,467,277,41,34
81a,380,467,277,41,35
81b,380,467,277,41,36
82,380,467,278,160,1
82a,380,467,278,160,2
82b,380,467,278,160,29
82c,380,467,278,160,35
83,380,467,278,160,49
84,380,467,278,160,52
85,380,467,278,160,71
86,377,467,70,58,1
86a,377,467,70,58,2
86b,377,467,70,58,4
87,377,467,70,58,28
88,377,467,70,58,29
88a,377,467,70,58,30
89,377,467,70,58,41
89a,377,467,70,58,35
89b,377,467,70,58,42
89c,377,467,70,58,43
89d,377,467,70,58,487
89e,377,467,70,58,488
89f,377,467,70,166,2
89g,377,467,70,166,4
89h,377,467,70,166,35
89j,377,467,70,166,36
89k,377,467,70,491,36
90,381,467,273,162,1
91,381,467,273,162,2
92,381,467,273,162,4
93,381,467,273,162,28
93a,381,467,273,162,29
93b,381,467,273,162,35
94,381,467,273,162,72
94a,378,467,178,622,1
95,378,467,178,622,2
95a,378,467,178,622,4
95b,378,467,178,622,28
95c,378,467,178,622,29
95d,378,467,178,622,30
95e,378,467,178,622,35
95f,378,467,178,622,36
95g,378,467,178,622,43
95h,378,467,178,622,45
95j,378,467,178,622,49
95k,378,467,178,622,54
95L,378,467,178,622,df
95m,378,467,178,622,71
95n,378,467,178,622,167
95p,378,467,178,622,492
95q,378,467,178,622,623
95r,378,467,178,622,
96,378,468,167,163,4
96a,378,468,167,163,28
97,378,468,167,163,29
98,378,468,167,163,32
98a,378,468,167,163,33
99,378,468,167,163,36
100,378,468,167,163,45
101,378,468,167,164,46
101a,378,468,167,164,4
101b,378,468,167,164,30
101c,378,468,167,164,35
101d,378,468,280,164,46
101e,378,468,280,164,47
102,377,467,280,165,1
103,377,467,280,165,2
104,377,467,280,165,3
105,377,467,280,165,4
106,377,467,280,165,28
106a,377,467,280,165,29a
106b,377,467,280,165,30
107,377,467,280,165,33
107a,377,467,280,165,34
108,377,467,280,165,35
109,377,467,280,165,36
110,377,467,280,165,37
110a,377,467,280,165,40
111,377,467,280,165,42
111a,377,467,280,165,44
111b,377,467,280,165,72
111c,377,467,281,nf,3
111d,377,467,281,nf,4
112,377,467,281,nf,28
112a,377,467,281,nf,33
112b,377,467,281,nf,35
112c,377,467,281,nf,36
112d,380,467,281,nf,49
112e,377,467,281,nf,52
112f,377,467,281,nf,54
112g,377,467,281,164,1
112h,377,467,281,164,4
112k,377,467,281,164,29
112L,377,467,281,164,30
112m,377,467,281,164,35
112n,377,467,281,164,167
113,377,467,282,165,4
113a,377,467,282,165,28
114,377,467,282,165,30
114a,377,467,282,165,35
115,377,467,282,165,36
115a,377,467,282,165,43
115b,377,467,282,165,47
115c,377,467,282,165,54
115d,377,467,282,165,76
115e,382,468,283,166,1
116,382,468,283,166,2
116a,382,468,283,166,4
116b,382,468,283,166,28
117,382,468,283,166,30
118,382,468,283,166,35
118a,382,468,283,166,54
119,383a,468,283,167,1
120,383a,468,283,167,2
120a,383a,468,283,167,4
121,383a,468,283,167,28
121a,383a,468,283,167,29
122,383a,468,283,167,30
122a,383a,468,283,167,33
122b,383a,468,283,167,41
122c,383a,468,283,167,35
122d,383a,468,283,167,36
123,383a,468,283,167,37
123a,383a,468,283,167,38
123b,383a,468,283,167,47
124,382,467,283,152,2
125,382,467,283,152,3
126,382,467,283,152,4
127,382,467,283,152,28
128,382,467,283,152,29
129,382,467,283,152,30
130,382,467,283,152,33
131,382,467,283,152,35
132,382,467,283,152,36
133,382,467,283,152,37
134,382,467,283,152,140
134a,377,467,283,151,36
134b,377,467,283,151,df
134c,377,467,283,151,167
134d,377,467,283,151,df
135,384,468,168,284,1
136,384,468,168,284,2
137,384,468,168,284,4
138,384,468,168,284,28
138a,384,468,168,284,29
139,384,468,168,284,30
140,384,468,168,284,33
141,384,468,168,284,34
141a,384,468,168,284,35
142,384,468,168,284,df
143,384,468,168,284,73
143a,384,468,168,495,37
143b,384,467,285,169,1
144,384,467,285,169,2
144a,384,467,285,169,4
145,384,467,285,169,28
145a,384,467,285,169,29
145b,384,467,285,169,34
146,384,467,285,169,35
146a,384,467,285,169,36
146b,384,467,285,169,42
146c,384,467,285,169,52
146d,384,467,285,169,df
146e,384,467,285,169,45
146f,384,467,285,169,df
147,384,467,285,69,29
148,384,468,286,170,1
149,384,468,286,170,2
150,384,468,286,170,4
151,384,468,286,170,28
152,384,468,286,170,29
153,384,468,286,170,30
154,384,468,286,170,33
155,384,468,286,170,35
155a,384,468,286,170,37
156,384,468,286,170,38
157,384,408,287,171,1
158,384,467,287,171,2
159,384,467,287,171,39
160,385,467,288,58,1
161,385,467,288,58,2
161a,385,467,288,58,3
162,385,467,288,58,4
162a,385,467,288,58,28
162b,385,467,288,58,30
163,385,467,288,58,33
164,385,467,288,58,34
164a,385,467,288,58,35
164b,385,467,288,58,37
164c,385,467,288,58,41
164d,385,467,288,58,df 0r 29a
165,385,467,289,172,1
166,385,467,289,172,2
167,385,467,289,172,4
168,385,467,289,172,28
169,385,467,289,172,29
170,385,467,289,172,30
171,385,467,289,172,33
172,385,467,289,172,35
172a,385,467,289,172,df
172b,385,467,289,172,36
173,385,467,289,172,37
173a,385,467,289,172,38
174,385,467,289,172,41
175,380,467,290,58,1
176,380,467,290,58,2
177,380,467,290,58,3
178,380,467,290,58,4
179,380,467,290,58,28
180,380,467,290,58,29
181,380,467,290,58,31
181a,380,467,290,58,35
182,380,467,290,58,df
183,386,467,291,173,1
184,386,467,291,173,2
184a,386,467,291,173,4
185,386,467,291,173,29
185a,386,467,291,173,30
186,386,467,291,173,35
186a,386,467,291,173,37
187,386,467,291,173,38
187a,386,467,291,173,58
188,387,468,292,174,1
188a,384,468,292,174,1
189,387,468,292,174,2
190,387,468,292,174,4
191,387,468,292,174,28
192,387,468,292,174,29
193,387,468,292,174,30
194,387,468,292,174,33
195,387,468,292,174,35
195a,384,468,292,174,35
195b,387,468,292,174,37
196,386,467,293,46,1
197,388,467,293,46,2
198,388,467,293,46,3
199,388,467,293,46,4
200,388,467,293,46,28
201,388,467,293,46,29
202,388,467,293,46,30
203,388,467,293,46,33
204,388,467,293,46,56
205,389,467,294,176,1
206,389,467,294,176,2
207,389,467,294,176,4
208,389,467,294,176,28
208a,389,467,294,176,29
209,389,467,294,176,29
210,389,467,294,176,30
211,389,467,294,176,33
211a,389,467,294,176,35
211b,389,467,294,176,37
212,389,467,294,176,38
212a,389,467,294,176,39
212b,389,467,294,176,77
213,390,467,273,177,1
214,390,467,273,177,2
214a,390,467,273,177,3
215,390,467,273,177,4
215a,390,467,273,177,28
216,390,467,273,177,29
216a,390,467,273,177,30
216b,390,467,273,177,35
216c,390,467,273,177,197
219,391,467,178,295,1
220,391,467,178,295,2
220a,391,467,178,295,3
221,391,467,178,295,4
221a,391,467,178,295,6
221b,391,467,178,295,28
222,391,467,178,295,29
222a,391,467,178,295,30
222b,391,467,178,295,33
223,391,467,178,295,35
224,391,467,178,295,38
225,391,467,178,295,74
226,391,467,178,295,75
227,392,467,158,179,2
228,392,467,158,179,3
229,392,467,158,179,4
230,392,467,158,179,28
230a,392,467,158,179,29
230b,392,467,158,179,30
230c,392,467,158,179,34
230d,392,467,158,179,35
231,392,467,158,179,36
231a,392,467,158,179,37
231b,392,467,158,179,38
231c,392,467,158,179,42
232,392,467,158,179,45
232a,392,467,158,179,40
233,392,467,297,180,1
234,392,467,297,180,2
234a,392,467,297,180,3
235,392,467,297,180,4
236,392,467,297,180,28
237,392,467,297,180,29
237a,392,467,297,180,30
238,392,467,297,180,34
238a,392,467,297,180,35
239,392,467,297,180,37
239a,392,467,297,180,38
240,392,467,297,180,39
241,392,467,297,180,1
242,392,467,297,180,76
243,393,467,298,152,1
244,393,467,298,152,2
244a,393,467,298,152,3
245,393,467,298,152,4
246,393,467,298,152,29
247,393,467,298,152,30
247a,393,467,298,152,33
248,393,467,298,152,35
249,393,467,298,152,37
250,393,467,298,152,38
251,394,468,299,181,1
252,394,468,299,181,2
253,394,468,299,181,3
253a,394,468,299,181,4
254,394,468,299,181,28
255,394,468,299,181,29
256,394,468,299,181,30
256a,394,468,299,181,33
256b,394,468,299,181,35
256c,394,468,299,181,37
257,394,468,299,46,29
258,377,468,20,285,1
259,377,468,20,285,2
260,377,468,20,285,4
261,377,468,20,285,29
262,377,468,20,285,33
262a,377,468,20,285,35
262b,377,468,20,285,37
263,377,468,20,285,39
264,377,468,20,285,42
264a,377,468,20,285,58
264/1a,377,468,591,592,4
264/1b,377,468,591,592,28
264/1c,377,468,591,592,32
264/1d,377,468,591,592,36
264/1e,377,468,591,592,37
264/1f,377,468,591,592,43
264/1g,377,468,591,592,44
264/1h,377,468,591,592,61
264/1j,377,468,591,592,76
264/2a,392,467,593,77,1
264/2b,392,467,593,77,4
264/2c,392,467,593,77,30
264/2d,392,467,593,77,32
264/2e,392,467,593,77,35
264/3a,377,467,594,df,1
264/3b,377,467,594,df,4
264/3c,377,467,594,df,36
264/3d,377,467,594,df,df
264/4a,377,467,596,597,1
264/4b,377,467,596,597,28
264/4c,389,467,596,597,47
264/5a,389,467,83a,77,1
264/6a,392,467,598,156,1
264/6b,425,467,599,299,1